0.0837758	10.67336	8.793247	7.93304	7.21949	5.50163	4.764839
0.1273526	22.77702	19.2135	17.30346	15.62747	11.94191	10.2193
0.1908336	25.65289	21.24204	19.06175	17.15607	13.01967	11.04145
0.2592677	38.31152	31.66645	28.47447	25.5418	19.92057	16.58769
0.3387932	45.03483	36.94365	33.02215	29.85724	23.07939	20.11415
0.4490356	61.90877	51.54555	46.49669	42.27855	33.66671	29.35597
0.6050619	73.99545	60.43917	55.08082	50.64851	41.29556	37.9459
0.8148669	86.14463	70.18212	63.36557	58.07605	52.33658	49.87606
1.099911	94.64325	78.44321	73.51677	71.28033	70.92162	70.02991
1.486992	95.81458	85.22696	84.43382	86.21585	90.09971	89.46728
1.998654	104.8421	102.4673	104.706	109.8361	116.5682	118.0039
2.58112	99.08644	98.65913	99.00839	100.9429	118.2203	125.8774
3.209803	94.5279	96.49019	87.52104	95.56869	122.9177	157.2067
