0.0837758	12.22311	10.35182	9.251633	8.363588	6.647533	5.638662
0.1273526	11.00313	9.288789	8.338279	7.384263	5.727688	4.976474
0.1908336	29.51853	24.92237	22.44716	20.09819	15.741	13.36695
0.2592677	29.12848	24.00276	21.54076	19.32804	14.72011	12.77649
0.3387932	52.74178	44.22422	39.57384	35.47599	27.84671	24.2959
0.4490356	59.43723	49.24259	44.17448	39.24563	31.62881	27.96406
0.6050619	73.3372	60.66416	54.52563	49.82786	41.22952	37.11102
0.8148669	83.7404	70.1555	63.89518	58.46724	51.8708	52.92162
1.099911	95.06798	80.62633	74.75015	71.56507	70.25567	71.38958
1.486992	96.68371	88.07814	87.33612	86.60459	90.40974	90.67613
1.998654	102.5793	104.1425	108.8154	112.1143	117.09	121.6305
2.58112	99.64344	101.1927	102.2897	105.1475	121.3477	132.8168
3.209803	93.69263	99.39586	102.0713	105.7243	140.6631	156.88
