1.256637e-02	1.296207e-01	6.481034e-02
1.777153e-02	5.442578e-01	2.721289e-01
2.790379e-02	3.232198e+00	7.053235e-01
3.766574e-02	1.689998e+00	3.193797e-01
5.078427e-02	5.015548e+00	5.870255e-01
6.703679e-02	7.728909e+00	6.248453e-01
9.034233e-02	1.212920e+01	6.149748e-01
1.224069e-01	1.395006e+01	4.567046e-01
1.653887e-01	1.736165e+01	3.693133e-01
2.231653e-01	1.849687e+01	2.531444e-01
3.010460e-01	1.909139e+01	1.680708e-01
4.064878e-01	1.924837e+01	1.083268e-01
5.488835e-01	1.886022e+01	6.798604e-02
7.411065e-01	1.854441e+01	4.271986e-02
1.000477e+00	1.830164e+01	2.695372e-02
1.350665e+00	1.960286e+01	1.842896e-02
1.774275e+00	2.278036e+01	1.680750e-02
2.228584e+00	2.588304e+01	3.619771e-02
