1.256637e-02	9.848688e+02	4.404467e+02
1.910289e-02	2.181111e+01	6.296326e+00
2.862504e-02	2.707573e+02	4.713279e+01
3.889016e-02	2.847462e+02	3.911289e+01
5.081898e-02	2.219616e+02	1.985285e+01
6.735534e-02	2.993841e+02	1.758044e+01
9.075929e-02	2.665113e+02	9.810415e+00
1.222300e-01	2.400363e+02	5.789472e+00
1.649867e-01	2.113885e+02	3.233056e+00
2.230488e-01	1.821363e+02	1.785135e+00
3.010993e-01	1.427810e+02	8.973199e-01
4.065910e-01	1.164336e+02	4.667774e-01
5.489584e-01	1.091250e+02	2.797737e-01
7.411605e-01	1.115494e+02	1.824660e-01
1.000560e+00	1.187196e+02	1.240087e-01
1.350759e+00	1.231200e+02	8.203374e-02
1.774083e+00	1.101805e+02	5.768483e-02
2.227740e+00	1.017415e+02	1.014504e-01
